code,iso,country,region,total,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
434,LBY,Libya,Middle East and North Africa,37.27,91.36,85.19,90.23,54.4,39.81,43.46,80.11,57.4,23.32,11.8,48.52,65.29,64.9,50.45,33.31,69.76,46.82,33.43,51.98
440,LTU,Lithuania,Europe and Central Asia,51.16,97.81,78.35,33.95,56.27,53.52,28.89,91.99,58.88,61.13,3.91,55.45,65,34.22,65.14,35.52,61.57,55.47,29.16,50.02
442,LUX,Luxembourg,Europe and Central Asia,55.93,99.39,83.34,66.25,72.04,59.8,15.56,46.68,57.18,70.16,4.7,58.36,75.62,34.05,81.37,40.98,69.49,42.39,31.59,49.99
450,MDG,Madagascar,Sub-Saharan Arica,36.8,45.98,55.4,88.2,36.22,13.24,99.35,85.03,43.01,16.59,49.79,61.46,66.65,8.9,26.83,12.82,54.43,53.58,26.03,45.65
454,MWI,Malawi,Sub-Saharan Arica,38.76,43.51,56.59,91.67,35.73,58.52,87.18,82.55,34.58,21.65,40.57,66.74,62.51,14.85,30.46,36.92,60.96,49.19,27.49,47.39
458,MYS,Malaysia,East Asia and Pacific,49.68,93.37,72.18,81.95,54.01,51.31,45.91,77.71,54.34,67.62,41.91,59.11,57.34,38.65,30.74,14.34,68.59,60.85,29.39,54.51
466,MLI,Mali,Sub-Saharan Arica,38.42,12.69,58.91,92.48,37.24,26.23,86.88,90.3,32.5,7.98,22.78,42.53,68.2,23.01,29.46,35.26,49.71,44.12,24.98,40.62
470,MLT,Malta,Middle East and North Africa,52.01,94.64,86.1,58.13,72.27,65.08,25.52,82.04,49.15,52.05,7.87,59.12,90.47,36.65,59.05,26.24,70,49.36,34.83,53.26
478,MRT,Mauritania,Sub-Saharan Arica,34.17,25.43,84.54,95.26,46,22.77,69.56,90.99,51.55,14.71,13.06,51.82,68.42,28.55,29.92,35.42,56.11,47.67,27.96,45.14
48,BHR,Bahrain,Middle East and North Africa,42.21,95.54,76.02,83.78,71.2,51.99,46.71,82.28,52.54,36.16,6.16,23.95,63.09,66.67,60.43,30.59,72.62,47.07,28.29,51.65
480,MUS,Mauritius,Sub-Saharan Arica,44.73,84.51,95.63,42.32,60.57,46.33,30.31,46.7,60.65,32.71,34.74,69.98,88.2,34.92,42.41,20.01,63.03,44.59,36.36,49.5
484,MEX,Mexico,Latin America and The Caribbean,48.71,80.98,85.06,70.49,46.2,43.3,42.19,77.11,57.34,52.44,51.67,61.91,66.2,35.07,50.03,29.2,63.79,61.31,30.86,53.17
496,MNG,Mongolia,East Asia and Pacific,40.11,85.34,70.26,71.8,38.28,50.42,51.56,88.96,58.07,15.41,5.27,48.73,55.28,27.99,30.85,36.92,63.41,46.72,24.92,46.86
499,MNE,Montenegro,Europe and Central Asia,45.26,98.94,79.35,47.38,65.9,44.87,26.91,98,58.19,41.43,6.83,50.35,69.88,36.87,49.33,33.82,63.66,54.56,29.45,50.67
50,BGD,Bangladesh,South Asia,39.67,60.91,79.47,84.18,62.37,34.31,82.96,84.01,30.53,3.91,6.48,47.52,58.14,33.38,18.37,28.42,66.65,36.67,26.16,45.51
504,MAR,Morocco,Middle East and North Africa,45.33,79.45,90.86,74.64,58.97,42.61,56.47,75.13,44.49,26.66,15.14,59.6,79.23,28.25,46.49,35.52,68.73,43.49,31.41,49.96
508,MOZ,Mozambique,Sub-Saharan Arica,39.18,28.63,44.8,80.57,25.81,35.24,89.9,87.66,44.26,29.54,47.02,65.83,60.8,10.33,30.72,39.38,48.78,56.25,26.17,44.24
51,ARM,Armenia,Europe and Central Asia,42.9,90.16,85.39,68.64,57.06,41.76,48.84,84.25,57.82,27.03,15.26,52.87,71.49,35.8,38.71,31.88,67.52,49.79,30.06,50.96
512,OMN,Oman,Middle East and North Africa,43.83,92.67,88.83,91.68,62.63,45.07,38.57,80.46,39.57,24.38,15.31,43.31,76.1,32.89,50.71,36.02,72.36,43.63,28.35,50.54
516,NAM,Namibia,Sub-Saharan Arica,42.34,61.21,52.19,80.89,36.31,45.96,67.5,92.84,50.94,25.42,30.44,46.39,75.43,24.52,41.29,47.6,57.37,54.51,27.33,47.5
52,BRB,Barbados,Latin America and The Caribbean,43.71,86.97,88.09,48.24,59.77,48.83,29.89,90.77,60.96,42.8,17.61,65.03,53.88,35.88,50.91,34.42,63.28,55.99,29.5,50.96
524,NPL,Nepal,South Asia,40.79,63.21,74.95,68.5,51.38,30.29,92.7,97.01,28.67,4.96,34.54,42.62,87.51,29.78,28.43,34.52,62.83,47.86,29.63,48.38
528,NLD,Netherlands,Europe and Central Asia,62.32,98.45,83.95,54.98,73.16,63.31,23.37,90.41,58.64,60.23,7.29,56.68,52.96,36.37,83.11,31.26,69.4,55.63,27.7,52.76
554,NZL,New Zealand,East Asia and Pacific,59.55,95.61,99.35,64.16,68.19,68.99,24.92,83.44,58.82,47.43,42.04,65.72,67.69,59.29,62.88,38.98,73.8,60.31,36.37,58.53
558,NIC,Nicaragua,Latin America and The Caribbean,44.98,73.17,90.58,79.19,58.13,69.58,36.41,90.88,52.21,36.58,32.2,65.64,65.6,31.22,41.42,23.46,70.09,56.59,30.82,54.26
56,BEL,Belgium,Europe and Central Asia,57.97,98.87,83.11,48.62,69.46,61.67,23.38,79.09,59.28,71.47,4.13,62.66,67.9,35,77.46,34.88,67.53,53.31,31.3,52.4
562,NER,Niger,Sub-Saharan Arica,35.47,23.33,62.07,92.65,29.75,31.81,94.26,95.98,35.54,22.65,5.49,42.75,90.62,2.09,15.33,37.84,53.47,44.72,25.1,42.34
566,NGA,Nigeria,Sub-Saharan Arica,37.77,7.36,57.42,96.14,33.05,15.42,76.07,86.23,48.51,11.62,40.68,38.43,63.32,18.93,35.96,33.32,45.04,52.08,22.53,40.4
578,NOR,Norway,Europe and Central Asia,64.95,99.51,95.24,62.6,73.3,69.11,17.09,80.06,53.05,60.1,5.23,55.29,64.02,60.91,78.47,42.34,73.25,50.39,33.87,54.58
586,PAK,Pakistan,South Asia,37.56,48.31,83.95,72.26,54.18,25.64,78.64,88.96,57.16,26.36,41.33,49.46,77.79,41.26,32.54,30.24,59.85,57.81,31.46,50.72
591,PAN,Panama,Latin America and The Caribbean,46.47,76.38,80.66,82.78,60.57,59.55,26.2,97.91,56.45,43.01,50.85,62.27,59.71,42.38,48.71,34.18,66.63,65.87,31.15,55.76
598,PNG,Papua New Guinea,East Asia and Pacific,38.22,61.58,49.54,66.49,51.26,28.02,97.19,86.99,52.66,11.34,51.59,68.72,56.75,33.33,30.59,37.24,57.39,56.15,30.3,48.89
600,PRY,Paraguay,Latin America and The Caribbean,44.62,73.1,82.38,79.93,55.62,49.59,51.41,75.33,50.36,40.21,14.48,67.36,63.41,39.63,42.17,16.66,66.71,47.19,32.34,50.54
604,PER,Peru,Latin America and The Caribbean,46.41,81.77,76.87,87.97,51.1,58.56,44.17,97.45,35.18,37.27,49.99,67.92,57.37,48.6,41.09,37.9,68.72,59.25,33.05,55.18
608,PHL,Philippines,East Asia and Pacific,46.93,72.19,60.5,75.88,62.91,30.41,70.24,90.93,52.31,38.6,49.68,77.05,80.52,31.87,37.42,22.82,61.69,61.55,35.91,53.92
616,POL,Poland,Europe and Central Asia,53.61,97.24,86.97,50.62,66.09,49.04,33.34,97.78,63.11,72.52,17.51,53.91,65.36,34.56,61.52,37.94,66.9,63.88,28.97,54.62
620,PRT,Portugal,Europe and Central Asia,54.04,98.15,84.07,43.04,68.69,61.27,23.38,66.36,46.77,45.89,35.75,68.89,61.65,35.6,70.04,30.68,66.51,49.98,31.61,51.08
626,TLS,Timor-Leste,East Asia and Pacific,40.81,67.08,58.44,87.41,63.97,51.55,71.91,74.81,15.81,5.86,12.94,46.42,87.84,21.18,34.23,34.16,66.12,32.14,28.89,44.75
